,AutoARIMA,N-BEATS,Prophet,Best model
FFS065X200E,3.902439024390244,5.463414634146342,4.085365853658536,AutoARIMA
FFS065X300E,2.341463414634146,2.841463414634146,2.573170731707317,AutoARIMA
FFS065X400E,1.4878048780487805,2.548780487804878,1.3780487804878048,Prophet
FFS065X500E,2.1707317073170733,3.1097560975609757,2.097560975609756,Prophet
FFS065X600E,0.12195121951219512,1.2560975609756098,0.1951219512195122,AutoARIMA
FFS080X1000E,37.573170731707314,57.71951219512195,41.146341463414636,AutoARIMA
FFS080X100E,16.402439024390244,22.841463414634145,18.585365853658537,AutoARIMA
FFS080X150E,9.195121951219512,13.853658536585366,10.731707317073171,AutoARIMA
FFS080X200E,70.15853658536585,86.52439024390245,76.6219512195122,AutoARIMA
FFS080X250E,4.780487804878049,5.902439024390244,5.609756097560975,AutoARIMA
FFS080X280E,0.0,0.9146341463414634,0.0,AutoARIMA
FFS080X300E,60.8780487804878,77.7560975609756,70.8170731707317,AutoARIMA
FFS080X400E,30.951219512195124,35.9390243902439,33.03658536585366,AutoARIMA
FFS080X500E,48.24390243902439,64.07317073170732,51.59756097560975,AutoARIMA
FFS080X600E,10.463414634146341,11.573170731707316,11.24390243902439,AutoARIMA
FFS080X700E,2.8536585365853657,3.7439024390243905,3.3292682926829267,AutoARIMA
FFS080X800E,20.21951219512195,25.597560975609756,23.158536585365855,AutoARIMA
FFS080X900E,2.0,1.9390243902439024,3.548780487804878,N-BEATS
FFS1000X1000E,0.0,1.951219512195122,0.036585365853658534,AutoARIMA
FFS1000X300E,0.04878048780487805,1.024390243902439,0.04878048780487805,AutoARIMA
FFS1000X500E,0.0,1.2804878048780488,0.0,AutoARIMA
FFS1000X600E,0.0,1.4878048780487805,0.0,AutoARIMA
FFS100X1000E,25.817073170731707,28.71951219512195,27.51219512195122,AutoARIMA
FFS100X100E,8.963414634146341,11.292682926829269,9.695121951219512,AutoARIMA
FFS100X150E,3.2195121951219514,4.573170731707317,3.8902439024390243,AutoARIMA
FFS100X200E,19.25609756097561,24.51219512195122,22.70731707317073,AutoARIMA
FFS100X250E,1.6585365853658536,2.3902439024390243,1.9146341463414633,AutoARIMA
FFS100X300E,18.75609756097561,22.695121951219512,18.5609756097561,Prophet
FFS100X400E,10.475609756097562,12.012195121951219,10.853658536585366,AutoARIMA
FFS100X500E,19.390243902439025,23.829268292682926,20.0,AutoARIMA
FFS100X600E,9.195121951219512,11.475609756097562,9.817073170731707,AutoARIMA
FFS100X700E,2.341463414634146,2.6951219512195124,2.5609756097560976,AutoARIMA
FFS100X800E,18.0609756097561,23.24390243902439,17.585365853658537,Prophet
FFS100X900E,0.36585365853658536,1.6341463414634145,0.6707317073170732,AutoARIMA
FFS1200X1000E,0.0975609756097561,1.1097560975609757,0.0975609756097561,AutoARIMA
FFS1200X500E,0.07317073170731707,1.2317073170731707,0.07317073170731707,AutoARIMA
FFS1200X600E,0.0,1.3658536585365855,0.0,AutoARIMA
FFS125X1000E,1.5609756097560976,2.9878048780487805,1.451219512195122,Prophet
FFS125X100E,0.3170731707317073,2.292682926829268,0.4146341463414634,AutoARIMA
FFS125X200E,2.292682926829268,2.9878048780487805,1.8414634146341464,Prophet
FFS125X300E,1.7439024390243902,2.4146341463414633,1.5,Prophet
FFS125X400E,0.975609756097561,2.3292682926829267,1.1219512195121952,AutoARIMA
FFS125X500E,1.7317073170731707,2.402439024390244,1.3414634146341464,Prophet
FFS125X600E,0.5121951219512195,1.8658536585365855,0.5609756097560976,AutoARIMA
FFS125X800E,0.5121951219512195,2.4390243902439024,1.0121951219512195,AutoARIMA
FFS150X1000E,11.902439024390244,15.939024390243903,12.817073170731707,AutoARIMA
FFS150X100E,3.682926829268293,4.926829268292683,4.963414634146342,AutoARIMA
FFS150X150E,1.4390243902439024,2.8902439024390243,1.8658536585365855,AutoARIMA
FFS150X200E,8.109756097560975,10.768292682926829,9.024390243902438,AutoARIMA
FFS150X250E,0.0975609756097561,1.329268292682927,0.0975609756097561,AutoARIMA
FFS150X300E,9.024390243902438,10.597560975609756,9.426829268292684,AutoARIMA
FFS150X400E,5.414634146341464,7.012195121951219,5.7560975609756095,AutoARIMA
FFS150X500E,8.268292682926829,9.682926829268293,9.024390243902438,AutoARIMA
FFS150X600E,2.1219512195121952,2.7439024390243905,2.7195121951219514,AutoARIMA
FFS150X700E,3.1951219512195124,5.024390243902439,3.597560975609756,AutoARIMA
FFS150X800E,4.890243902439025,6.109756097560975,5.024390243902439,AutoARIMA
FFS150X900E,0.024390243902439025,1.7195121951219512,0.036585365853658534,AutoARIMA
FFS200X1000E,4.390243902439025,4.524390243902439,4.073170731707317,Prophet
FFS200X1000E/16,2.817073170731707,3.8902439024390243,2.9634146341463414,AutoARIMA
FFS200X100E,2.6219512195121952,3.792682926829268,2.8780487804878048,AutoARIMA
FFS200X100E/16,0.1951219512195122,1.6951219512195121,0.34146341463414637,AutoARIMA
FFS200X150E,0.34146341463414637,1.8902439024390243,0.4024390243902439,AutoARIMA
